DateTime;EMpro1.Voltage_U12;EMpro1.Voltage_U23;EMpro1.Voltage_U31;EMpro1.Voltage_L1;EMpro1.Voltage_L2;EMpro1.Voltage_L3;EMpro1.Current_L1;EMpro1.Current_L2;EMpro1.Current_L3;EMpro1.Current_N;EMpro1.PowerFactor_L1;EMpro1.PowerFactor_L2;EMpro1.PowerFactor_L3;EMpro1.PowerFactor_Sum;EMpro1.Real_PE_L1;EMpro1.Real_PE_L2;EMpro1.Real_PE_L3;EMpro1.Reactive_PE_L1;EMpro1.Reactive_PE_L2;EMpro1.Reactive_PE_L3;EMpro1.Apparent_PEr_L1;EMpro1.Apparent_PE_L2;EMpro1.Apparent_PE_L3;EMpro1.Current_reactive_energy;EMpro1.Current_apparent_energy;EMpro1.Total_reactive_energy;EMpro1.Total_apparent_energy
2023-04-21 13:37:35.77 +02:00;421.4;421.4;421.1;242.8;243.6;243.3;7.12;8.29;8.60;9.84;0.37;0.96;0.52;0.26;643.055;1934.149;-1076.743;-1600.16;-558.31;-1789.59;1724.78;2013.91;2088.68;18412.03;27124.89;18412.26;27138.62
2023-04-21 13:37:42.06 +02:00;421.3;421.6;421.2;242.9;243.6;243.4;7.14;8.31;8.58;9.82;0.37;0.96;0.52;0.26;643.055;1939.134;-1076.743;-1610.13;-578.25;-1789.59;1734.75;2023.88;2088.68;18412.03;27124.90;18412.26;27138.63
2023-04-21 13:37:45.97 +02:00;421.4;421.5;421.3;242.9;243.6;243.4;7.13;8.30;8.58;9.82;0.37;0.96;0.52;0.26;643.055;1934.149;-1081.728;-1605.14;-578.25;-1784.60;1729.77;2018.89;2088.68;18412.04;27124.90;18412.27;27138.63
2023-04-21 13:38:04.26 +02:00;419.9;419.8;419.0;241.8;242.8;242.2;7.10;8.25;8.56;9.79;0.37;0.96;0.52;0.26;633.085;1919.195;-1071.758;-1590.19;-558.31;-1774.63;1714.81;1998.95;2073.73;18412.06;27124.93;18412.29;27138.66
2023-04-21 13:38:05.46 +02:00;420.5;420.6;420.1;242.2;243.1;242.9;7.09;8.29;8.55;9.82;0.37;0.96;0.52;0.26;638.070;1929.164;-1071.758;-1590.19;-573.27;-1774.63;1714.81;2013.91;2073.73;18412.06;27124.94;18412.29;27138.67
2023-04-21 13:38:06.67 +02:00;420.1;420.5;420.1;242.1;242.9;242.9;7.10;8.25;8.56;9.77;0.37;0.96;0.52;0.26;638.070;1919.195;-1071.758;-1590.19;-558.31;-1779.62;1714.81;1998.95;2078.71;18412.06;27124.94;18412.29;27138.67
2023-04-21 13:38:07.87 +02:00;420.5;421.0;420.5;242.4;243.1;243.1;7.10;8.27;8.56;9.80;0.37;0.96;0.52;0.26;633.085;1929.164;-1076.743;-1595.17;-558.31;-1774.63;1719.80;2008.92;2078.71;18412.06;27124.94;18412.29;27138.67
2023-04-21 13:38:12.96 +02:00;420.6;421.4;421.0;242.5;243.3;243.5;7.10;8.28;8.57;9.82;0.37;0.96;0.52;0.26;633.085;1929.164;-1076.743;-1595.17;-558.31;-1779.62;1719.80;2008.92;2083.70;18412.07;27124.95;18412.29;27138.68
2023-04-21 13:38:24.07 +02:00;421.0;421.8;421.8;242.9;243.4;243.8;7.15;8.31;8.57;9.80;0.37;0.96;0.52;0.26;638.070;1939.134;-1081.728;-1610.13;-558.31;-1784.60;1734.75;2018.89;2088.68;18412.08;27124.96;18412.31;27138.69
2023-04-21 13:38:25.27 +02:00;420.8;421.7;421.6;242.7;243.6;243.6;7.13;8.30;8.57;9.82;0.37;0.96;0.52;0.26;633.085;1939.134;-1081.728;-1600.16;-558.31;-1779.62;1724.78;2018.89;2083.70;18412.08;27124.97;18412.31;27138.70
2023-04-21 13:38:26.46 +02:00;420.8;421.7;421.6;242.7;243.6;243.6;7.13;8.30;8.57;9.82;0.37;0.96;0.52;0.26;633.085;1939.134;-1081.728;-1600.16;-558.31;-1779.62;1724.78;2018.89;2083.70;18412.08;27124.97;18412.31;27138.70
2023-04-21 13:38:33.96 +02:00;421.4;422.4;421.8;242.9;244.1;243.7;7.15;8.30;8.57;9.79;0.37;0.96;0.52;0.25;638.070;1939.134;-1086.713;-1610.13;-578.25;-1774.63;1734.75;2023.88;2083.70;18412.09;27124.98;18412.32;27138.71
2023-04-21 13:38:48.67 +02:00;420.8;421.7;421.4;242.6;243.6;243.5;7.12;8.26;8.56;9.78;0.37;0.96;0.51;0.26;643.055;1934.149;-1071.758;-1600.16;-538.37;-1784.60;1724.78;2008.92;2083.70;18412.11;27125.01;18412.34;27138.74
2023-04-21 13:38:49.87 +02:00;420.5;421.2;421.0;242.4;243.4;243.3;7.09;8.25;8.56;9.78;0.38;0.96;0.51;0.26;643.055;1929.164;-1066.773;-1585.20;-538.37;-1779.62;1714.81;2003.94;2078.71;18412.11;27125.01;18412.34;27138.74
2023-04-21 13:38:59.77 +02:00;420.4;420.5;420.9;242.5;243.1;242.9;7.08;8.26;8.54;9.79;0.37;0.96;0.51;0.26;638.070;1929.164;-1066.773;-1590.19;-538.37;-1774.63;1714.81;2003.94;2073.73;18412.12;27125.02;18412.35;27138.75
